query,wiki_id
The Sound of Music 1965 film Robert Wise,4836239
Strangers on a Train 1951 film Alfred Hitchcock,261107
Dial M for Murder 1954 film Alfred Hitchcock,77223
Samurai Cop 1991 film Amir Shervan,45336113
Pandora's Box 1929 film G.W. Pabst,457578
The Sicilian Clan 1969 film Henri Verneuil,19158255
Two Men in Manhattan 1959 film Jean-Pierre Melville,20789377
Birdemic: Shock and Terror 2010 film James Nguyen,25581548
The Sacrament 2013 film Ti West,41438706
On the Occasion of Remembering the Turning Gate 2002 film Hong Sang-soo,7362626
The Midnight Swim 2015 film Sarah Adina Smith,43519862
Crumb 1994 film Terry Zwigoff,863087
A Wanderer's Notebook 1962 film Mikio Naruse,31750495
Ghost World 2001 film Terry Zwigoff,20179720
The Devil's Doorway 2018 film Aislinn Clarke,63406600
Midnight Run 1988 film Martin Brest,1122030
The Trouble with Harry 1955 film Alfred Hitchcock,579127
Cloverfield 2008 film Matt Reeves,12064359
Magic Mike XXL 2015 film Gregory Jacobs,43719778
Don't Torture a Duckling 1972 film Lucio Fulci,11510742
Wife 1953 film Mikio Naruse,46229111
Opening Night 1977 film John Cassavetes,2581818
Late Chrysanthemums 1954 film Mikio Naruse,18587615
The Muppets Take Manhattan 1984 film Frank Oz,1099178
Repast 1951 film Mikio Naruse,6584492
Bullet in the Head 1990 film John Woo,1862671
Lightning 1952 film Mikio Naruse,23208313
Thief 1981 film Michael Mann,1330774
Pink Narcissus 1971 film James Bidgood,183550
Christopher Strong 1933 film Dorothy Arzner,1958815
Shanghai Express 1932 film Josef von Sternberg,61061
7th Heaven 1927 film Frank Borzage,61049
M 1931 film Fritz Lang,66322
Snow White 1916 film J. Searle Dawley,2826225
Lifeboat 1944 film Alfred Hitchcock,264869
Hour of the Wolf 1968 film Ingmar Bergman,1724742
Golden Eighties 1986 film Chantal Akerman,64325894
Carrie 1976 film Brian De Palma,4899791
Greed 1924 film Erich von Stroheim,73930
Linda Linda Linda 2005 film Nobuhiro Yamashita,7587190
Every-Night Dreams 1933 film Mikio Naruse,37554282
Dilwale Dulhania Le Jayenge 1995 film Aditya Chopra,274258
Street Without End 1934 film Mikio Naruse,66481766
Mangrove 2020 film Steve McQueen,64179488
Lovers Rock 2020 film Steve McQueen,64179486
